combo_idx,neurons,ranks,n_prompts,abs_bias_before,signed_bias_before,gender_mass_before,abs_bias_after,signed_bias_after,gender_mass_after,abs_bias_delta,signed_bias_delta,abs_bias_reduction_pct
129,L0N8302;L0N6887;L1N3242;L3N7263;L4N8711,2;3;4;5;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08178608992053316,0.05260522072268548,0.16988204695500603,0.0002478196598803134,0.0003965628563827109,0.30209417196846994
130,L0N8302;L0N6887;L1N3242;L3N7263;L0N7415,2;3;4;5;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08178221066662064,0.05260868990814665,0.16988850847250853,0.0002516989137928277,0.0003930936709215446,0.3068230138978085
131,L0N8302;L0N6887;L1N3242;L1N6665;L23N1433,2;3;4;6;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08162058336317256,0.052459842491976,0.16962579099380523,0.00041332621724091134,0.0005419410870921917,0.5038480054833296
132,L0N8302;L0N6887;L1N3242;L1N6665;L20N3498,2;3;4;6;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0814236615690529,0.05549822601885231,0.1691838518575074,0.0006102480113605729,-0.0024964424397841203,0.7438972669739449
133,L0N8302;L0N6887;L1N3242;L1N6665;L4N8711,2;3;4;6;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08159484543462231,0.05246421046477029,0.16950572366722932,0.0004390641457911598,0.000537573114297904,0.5352227487838656
134,L0N8302;L0N6887;L1N3242;L1N6665;L0N7415,2;3;4;6;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08160429056842969,0.052477195231949735,0.1695346275252591,0.00042961901198378116,0.0005245883471184584,0.5237090541962388
135,L0N8302;L0N6887;L1N3242;L23N1433;L20N3498,2;3;4;7;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08139231919380233,0.05547044803393717,0.1692007187659057,0.0006415903866111433,-0.002468664454868978,0.7821038761808937
136,L0N8302;L0N6887;L1N3242;L23N1433;L4N8711,2;3;4;7;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08157106617987017,0.05243541172673683,0.16952660512325535,0.0004628434005432974,0.0005663718523313613,0.5642098528652919
137,L0N8302;L0N6887;L1N3242;L23N1433;L0N7415,2;3;4;7;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08157333668074498,0.05244519951831654,0.16954337446796247,0.0004605728996684849,0.0005565840607516526,0.5614420939148461
138,L0N8302;L0N6887;L1N3242;L20N3498;L4N8711,2;3;4;8;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0813705489998154,0.05546810637019073,0.16908466829814428,0.0006633605805980713,-0.0024663227911225355,0.8086419189223383
139,L0N8302;L0N6887;L1N3242;L20N3498;L0N7415,2;3;4;8;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08137379562559625,0.05547738538589114,0.169101858770397,0.0006601139548172152,-0.0024756018068229496,0.8046842558078263
140,L0N8302;L0N6887;L1N3242;L4N8711;L0N7415,2;3;4;9;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08154939803382792,0.05245031826435103,0.1694270140370107,0.0004845115465855476,0.000551465314717163,0.5906234983359007
141,L0N8302;L0N6887;L3N7263;L1N6665;L23N1433,2;3;5;6;7,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0819897495581283,0.052752559645318296,0.1703124764002017,4.416002228517513e-05,0.00024922393374989665,0.053831424725512333
142,L0N8302;L0N6887;L3N7263;L1N6665;L20N3498,2;3;5;6;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0817744639122514,0.05578454081380224,0.16986115973470922,0.0002594456681620644,-0.0027827572347340485,0.3162663701987086
143,L0N8302;L0N6887;L3N7263;L1N6665;L4N8711,2;3;5;6;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0819584838189182,0.052759443737733606,0.17017995638352973,7.542576149527358e-05,0.00024233984133458647,0.09194461397861055
144,L0N8302;L0N6887;L3N7263;L1N6665;L0N7415,2;3;5;6;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08196850134143487,0.052770993041880994,0.17021574022704955,6.54082389786037e-05,0.00023079053718719905,0.07973317291977593
145,L0N8302;L0N6887;L3N7263;L23N1433;L20N3498,2;3;5;7;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08174698809894491,0.05575501747426547,0.16988150332034302,0.000286921481468555,-0.002753233895197278,0.3497596090886064
146,L0N8302;L0N6887;L3N7263;L23N1433;L4N8711,2;3;5;7;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08193882497936143,0.052728513458859726,0.1702041649033477,9.508460105203675e-05,0.00027327012020846725,0.1159088985742297
147,L0N8302;L0N6887;L3N7263;L23N1433;L0N7415,2;3;5;7;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08194202544830148,0.05273677527402539,0.170227903445221,9.188413211198843e-05,0.00026500830504280065,0.11200750102239039
148,L0N8302;L0N6887;L3N7263;L20N3498;L4N8711,2;3;5;8;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.0817196684875896,0.05575447139631489,0.1697528593591857,0.0003142410928238665,-0.0027526878172466976,0.3830624365352631
149,L0N8302;L0N6887;L3N7263;L20N3498;L0N7415,2;3;5;8;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08172431941615635,0.05576257206570784,0.16977689771776922,0.00030959016425712027,-0.0027607884866396454,0.3773929169542328
150,L0N8302;L0N6887;L3N7263;L4N8711;L0N7415,2;3;5;9;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08191241653494945,0.05274416768577468,0.17009878064882633,0.00012149304546402173,0.0002576158932935113,0.14810100613933141
151,L0N8302;L0N6887;L1N6665;L23N1433;L20N3498,2;3;6;7;8,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08161536740827349,0.0556689132076322,0.16963686535393008,0.0004185421721399768,-0.0026671296285640037,0.5102062967384264
152,L0N8302;L0N6887;L1N6665;L23N1433;L4N8711,2;3;6;7;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08178831664513649,0.05261502860228119,0.169950778588219,0.00024559293527698367,0.00038675497678700155,0.29937977664741433
153,L0N8302;L0N6887;L1N6665;L23N1433;L0N7415,2;3;6;7;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08180321029416784,0.05263160626047079,0.16999345078981132,0.0002306992862456253,0.0003701773185974047,0.2812242978855995
154,L0N8302;L0N6887;L1N6665;L20N3498;L4N8711,2;3;6;8;9,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08158325181635971,0.05566223880159553,0.1695010591843604,0.0004506577640537579,-0.002660455222527336,0.5493554633184977
155,L0N8302;L0N6887;L1N6665;L20N3498;L0N7415,2;3;6;8;10,650,0.08203390958041347,0.05300178357906819,0.17019900609354627,0.08160015992651075,0.055679665285737395,0.16954381715747807,0.0004337496539027208,-0.0026778817066692023,0.5287443401408769
