layer,neuron,neuron_id,mean_activation,gender_logit_weight,proxy_score,abs_proxy_score,rank_abs_proxy,rank_proxy_score,rank_reverse_proxy_score
13,4454,L13N4454,-2.643606351993301,-0.1630849242210388,0.4311323415850843,0.4311323415850843,19,6,239611
1,8886,L1N8886,0.455444227497686,-0.8927153944969177,-0.4065820732219407,0.4065820732219407,20,239603,14
17,2148,L17N2148,-3.336449045349251,-0.118160106241703,0.3942351736684961,0.3942351736684961,21,7,239610
0,3933,L0N3933,1.1941618318222853,0.3285049796104431,0.3922881082143492,0.3922881082143492,22,8,239609
1,2989,L1N2989,1.3030977399511772,0.300595611333847,0.3917054617683785,0.3917054617683785,23,9,239608
21,7650,L21N7650,-2.014542375572703,-0.1915308535099029,0.3858470206253073,0.3858470206253073,24,10,239607
0,3709,L0N3709,0.2419590964658379,1.5868608951568604,0.3839554284091246,0.3839554284091246,25,11,239606
25,8629,L25N8629,-0.2168197372324274,1.7478426694869995,-0.3789667883217957,0.3789667883217957,26,239602,15
0,7116,L0N7116,-0.1920496699866775,1.8668497800827024,-0.3585278841795846,0.3585278841795846,27,239601,16
21,4163,L21N4163,-2.611452206427401,-0.1345010697841644,0.351243115454702,0.351243115454702,28,12,239605
1,8037,L1N8037,0.9644424220293084,0.3608776926994324,0.348045756003389,0.348045756003389,29,13,239604
23,1443,L23N1443,-0.9789814369401112,0.3524605929851532,-0.3450523777853689,0.3450523777853689,30,239600,17
18,1643,L18N1643,-3.366335751725869,0.0994699895381927,-0.3348493820062164,0.3348493820062164,31,239599,18
21,5176,L21N5176,-0.1220613265061277,2.67074990272522,-0.3259952758927518,0.3259952758927518,32,239598,19
24,4410,L24N4410,-2.3740724171427163,0.1322948932647705,-0.3140776570287313,0.3140776570287313,33,239597,20
24,3613,L24N3613,0.1110131726332362,-2.8129732608795166,-0.3122770862226954,0.3122770862226954,34,239596,21
24,6062,L24N6062,-0.5017940858633003,-0.6127049922943115,0.3074517415122045,0.3074517415122045,35,14,239603
11,1086,L11N1086,1.5978546652794732,0.1900966763496399,0.3037468611593942,0.3037468611593942,36,15,239602
22,5828,L22N5828,-0.0756572215602044,-3.816940069198608,0.288779080497381,0.288779080497381,37,16,239601
25,5679,L25N5679,0.1355133756393012,2.080580949783325,0.2819465477959618,0.2819465477959618,38,17,239600
4,7742,L4N7742,-1.035566683719993,-0.2688072323799133,0.2783678141956164,0.2783678141956164,39,18,239599
22,3446,L22N3446,-0.1338273449754235,-2.0146937370300293,0.2696211137653429,0.2696211137653429,40,19,239598
8,4236,L8N4236,-1.661630818290128,0.1600791662931442,-0.2659924760788787,0.2659924760788787,41,239595,22
7,8997,L7N8997,0.1503822405846387,-1.7269703149795532,-0.2597056653897845,0.2597056653897845,42,239594,23
23,3476,L23N3476,-0.5695012888081857,0.4519874453544616,-0.2574074326544853,0.2574074326544853,43,239593,24
0,1348,L0N1348,-0.2903427911626336,-0.8793637752532959,0.2553169329543527,0.2553169329543527,44,20,239597
7,8902,L7N8902,-0.143832468982989,-1.7733566761016846,0.255066269111172,0.255066269111172,45,21,239596
24,8675,L24N8675,0.4251118772155182,0.5984194278717041,0.2543952063447765,0.2543952063447765,46,22,239595
2,5732,L2N5732,-1.2929509663954375,-0.1840870082378387,0.2380154752019585,0.2380154752019585,47,23,239594
