combo_idx,neurons,ranks,n_prompts,abs_bias_before,signed_bias_before,gender_mass_before,abs_bias_after,signed_bias_after,gender_mass_after,abs_bias_delta,signed_bias_delta,abs_bias_reduction_pct
42,L11N2607;L11N2652;L10N369;L9N1503;L11N1623,1;2;5;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12497894510373948,0.09410919013331892,0.22416302245732017,-0.02838019316633565,-0.03577143706787158,-29.37946153251138
43,L11N2607;L11N2652;L10N369;L10N1162;L10N2178,1;2;5;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12013010346458504,0.08922295459577169,0.22101898525125202,-0.023531351527181207,-0.030885201530324348,-24.359891877722774
44,L11N2607;L11N2652;L10N369;L10N1162;L11N1623,1;2;5;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.1243365279587514,0.09298540914890276,0.22791426020836375,-0.027737776021347568,-0.034647656083455415,-28.71442483990031
45,L11N2607;L11N2652;L10N369;L10N2178;L11N1623,1;2;5;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.12142261782863212,0.09168652660299245,0.22063877286113107,-0.024823865891228286,-0.03334877353754511,-25.697915752901444
46,L11N2607;L11N2652;L9N255;L9N1503;L10N1162,1;2;6;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10903452425240394,0.07632905435139828,0.21245105964254976,-0.012435772315000107,-0.017991301285950938,-12.873636631515188
47,L11N2607;L11N2652;L9N255;L9N1503;L10N2178,1;2;6;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10587732451431724,0.07503152161104942,0.2049395156817439,-0.009278572576913405,-0.016693768545602082,-9.605271694323687
48,L11N2607;L11N2652;L9N255;L9N1503;L11N1623,1;2;6;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11017447710835733,0.07873755024087066,0.21182783905011876,-0.013575725170953498,-0.02039979717542332,-14.053727298413332
49,L11N2607;L11N2652;L9N255;L10N1162;L10N2178,1;2;6;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10572564682569027,0.0742033561162226,0.20887668386069388,-0.009126894888286441,-0.015865603050775258,-9.448253424848268
50,L11N2607;L11N2652;L9N255;L10N1162;L11N1623,1;2;6;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10983329515271244,0.07779123212421087,0.21591185925958598,-0.013234543215308606,-0.019453479058763525,-13.70053230489418
51,L11N2607;L11N2652;L9N255;L10N2178;L11N1623,1;2;6;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.10692057451629891,0.07660465506292853,0.20840611592628097,-0.010321822578895079,-0.01826690199748119,-10.685254593748414
52,L11N2607;L11N2652;L9N1503;L10N1162;L10N2178,1;2;7;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11347367658399397,0.0809939619508062,0.21278830877475505,-0.016874924646590142,-0.02265620888535886,-17.469091792743992
53,L11N2607;L11N2652;L9N1503;L10N1162;L11N1623,1;2;7;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11785923435494353,0.08482941957524619,0.219612608986062,-0.021260482417539694,-0.026491666509798846,-22.00906532551945
54,L11N2607;L11N2652;L9N1503;L10N2178;L11N1623,1;2;7;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11462564774448784,0.08335633697017668,0.2122068504059787,-0.018026895807084012,-0.025018583904729337,-18.661623929432828
55,L11N2607;L11N2652;L10N1162;L10N2178;L11N1623,1;2;8;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.11455270726482306,0.08264451421050792,0.2163635387338571,-0.017953955327419224,-0.024306761145060578,-18.586115210943326
56,L11N2607;L0N399;L10N379;L10N369;L9N255,1;3;4;5;6,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08032738504602462,0.05121843129093328,0.18230272693889127,0.016271366891379216,0.007119321774514062,16.844282731440558
57,L11N2607;L0N399;L10N379;L10N369;L9N1503,1;3;4;5;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08441638906492757,0.05392805278518834,0.18250899428702305,0.01218236287247626,0.004409700280258999,12.611304626762108
58,L11N2607;L0N399;L10N379;L10N369;L10N1162,1;3;4;5;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.085841976930926,0.055382358064388355,0.1886052617601889,0.010756775006477828,0.0029553950010589858,11.13552172335336
59,L11N2607;L0N399;L10N379;L10N369;L10N2178,1;3;4;5;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.0821851993207036,0.05312373755405815,0.1799787422926835,0.014413552616700229,0.00521401551138919,14.921054700624122
60,L11N2607;L0N399;L10N379;L10N369;L11N1623,1;3;4;5;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08625730542154669,0.056845838637748856,0.18729046421048154,0.010341446515857139,0.0014919144276984847,10.7055694907512
61,L11N2607;L0N399;L10N379;L9N255;L9N1503,1;3;4;6;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08162471065914183,0.05100567391856901,0.18273621647234142,0.014974041278262004,0.007332079146878334,15.501278202812818
62,L11N2607;L0N399;L10N379;L9N255;L10N1162,1;3;4;6;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.0830628928199383,0.052322144163889264,0.18882042179975767,0.013535859117465535,0.006015608901558077,14.012457558703032
63,L11N2607;L0N399;L10N379;L9N255;L10N2178,1;3;4;6;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.07941487542635935,0.05018499823751715,0.1800613338028928,0.017183876511044485,0.008152754827930188,17.788921871557584
64,L11N2607;L0N399;L10N379;L9N255;L11N1623,1;3;4;6;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08349585307456991,0.053821664002520475,0.18750634409110217,0.013102898862833917,0.004516089062926866,13.564252746582708
65,L11N2607;L0N399;L10N379;L9N1503;L10N1162,1;3;4;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.0869764287455201,0.0547774197029473,0.1887065041077593,0.009622323191883733,0.0035603333625000427,9.96112578982285
66,L11N2607;L0N399;L10N379;L9N1503;L10N2178,1;3;4;7;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08321197448518748,0.052577912693122585,0.18028448917488452,0.01338677745221635,0.0057598403723247565,13.858126718749954
67,L11N2607;L0N399;L10N379;L9N1503;L11N1623,1;3;4;7;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08727172726854839,0.05618319341979481,0.1872217058601334,0.009327024668855446,0.0021545596456525318,9.655429787435944
68,L11N2607;L0N399;L10N379;L10N1162;L10N2178,1;3;4;8;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08472374304088354,0.05394792461880859,0.18625270986755946,0.011875008896520295,0.004389828446638752,12.293128698200285
69,L11N2607;L0N399;L10N379;L10N1162;L11N1623,1;3;4;8;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08883490361477046,0.057750695624538516,0.19363969376734683,0.007763848322633368,0.0005870574409088253,8.0372139048591
70,L11N2607;L0N399;L10N379;L10N2178;L11N1623,1;3;4;9;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08507851810306302,0.0553646603466157,0.18495904838454608,0.01152023383434081,0.0029730927188316436,11.92586198402019
71,L11N2607;L0N399;L10N369;L9N255;L9N1503,1;3;5;6;7,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.0821303952066286,0.05198095722432707,0.18427122645764707,0.014468356730775234,0.006356795841120269,14.977788470963636
72,L11N2607;L0N399;L10N369;L9N255;L10N1162,1;3;5;6;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08369973820112814,0.053339127507730226,0.19058182232477724,0.012899013736275694,0.004998625557717115,13.353188812040012
73,L11N2607;L0N399;L10N369;L9N255;L10N2178,1;3;5;6;9,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08017906506372136,0.051294441626581526,0.18191201155517336,0.016419686873682476,0.007043311438865815,16.997825069543822
74,L11N2607;L0N399;L10N369;L9N255;L11N1623,1;3;5;6;10,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08417404019816412,0.05486768058874829,0.1892361297838955,0.012424711739239716,0.003470072476699053,12.862186612194485
75,L11N2607;L0N399;L10N369;L9N1503;L10N1162,1;3;5;7;8,650,0.09659875193740383,0.05833775306544734,0.18646156179429446,0.08769335252879232,0.056065685951454766,0.19036483462078613,0.008905399408611514,0.002272067113992575,9.218959075560551
