layer,neuron,neuron_id,mean_activation,gender_logit_weight,proxy_score,abs_proxy_score
10,58,L10N58,0.4088207857027142,4.161047458648682,1.7011226913910362,1.7011226913910362
11,747,L11N747,-0.03766666244360253,-45.15138244628906,1.7007018814663708,1.7007018814663708
8,428,L8N428,0.45001955013722184,3.775723457336426,1.6991493717130943,1.6991493717130943
8,1981,L8N1981,0.827237785889222,-2.02886962890625,-1.6783576196742938,1.6783576196742938
11,2362,L11N2362,0.3501978238938715,4.782000541687012,1.6746461835581061,1.6746461835581061
0,705,L0N705,0.9097759771414778,-1.8278666734695435,-1.6629491889400965,1.6629491889400965
11,1590,L11N1590,-0.10784338547342817,-15.126693725585938,1.6313138623868515,1.6313138623868515
8,2990,L8N2990,0.8374992030953184,1.943515658378601,1.6276928150953516,1.6276928150953516
9,2798,L9N2798,0.4625272623182437,3.5022311210632324,1.6198773724311304,1.6198773724311304
9,1006,L9N1006,0.4446387555779769,-3.5689210891723633,-1.5868806318455975,1.5868806318455975
2,2643,L2N2643,0.33751062036237933,-4.667773723602295,-1.5754232051642238,1.5754232051642238
10,2813,L10N2813,0.3838802768699018,-4.090429306030273,-1.5702351345156615,1.5702351345156615
7,2794,L7N2794,0.6887050655771004,2.2431089878082275,1.5448405225450488,1.5448405225450488
9,2979,L9N2979,0.6864083768662319,2.2235021591186523,1.5262305079991962,1.5262305079991962
11,2022,L11N2022,0.8292082660968824,-1.8403335809707642,-1.5260198177166338,1.5260198177166338
7,2654,L7N2654,0.7837604152199756,1.9215245246887207,1.5060148593253981,1.5060148593253981
7,2151,L7N2151,0.7074719326628176,2.1270885467529297,1.5048554451162393,1.5048554451162393
8,3062,L8N3062,0.542725843731949,-2.7397546768188477,-1.4869356685950623,1.4869356685950623
8,820,L8N820,0.9757994659970626,-1.4949748516082764,-1.458795661878394,1.458795661878394
0,486,L0N486,1.479685036871921,0.9704731702804565,1.4359946287496475,1.4359946287496475
10,939,L10N939,0.4066422566355951,-3.5122876167297363,-1.4282445624202362,1.4282445624202362
7,3050,L7N3050,-0.07880719821028337,-17.957273483276367,1.4151624107128262,1.4151624107128262
10,680,L10N680,0.4790214661045783,-2.899951934814453,-1.3891392274476277,1.3891392274476277
11,2980,L11N2980,0.01868116051465966,74.23199462890625,1.3867398069859516,1.3867398069859516
11,2361,L11N2361,0.522100174735037,-2.6155998706817627,-1.3656051495198884,1.3656051495198884
7,2489,L7N2489,0.7335889547512952,-1.8584067821502686,-1.3633066888203333,1.3633066888203333
7,1211,L7N1211,0.3791089172177056,-3.585670232772827,-1.359359559446265,1.359359559446265
9,892,L9N892,0.9738332760446197,1.3775957822799683,1.3415486137229522,1.3415486137229522
2,989,L2N989,0.36460848361761733,3.658940076828003,1.3340805930599864,1.3340805930599864
8,2157,L8N2157,1.409663010485449,-0.9441355466842651,-1.3309129570452665,1.3309129570452665
0,642,L0N642,0.41415682479792043,-3.202594518661499,-1.3263763769640708,1.3263763769640708
1,2933,L1N2933,0.9640652383194802,-1.357918620109558,-1.309122138114381,1.309122138114381
7,1729,L7N1729,0.5880827180574587,2.2036237716674805,1.2959130572182407,1.2959130572182407
0,2192,L0N2192,0.5170018393123015,-2.445732831954956,-1.2644483725871962,1.2644483725871962
11,2903,L11N2903,0.5866483466456306,-2.1500871181488037,-1.2613450530060644,1.2613450530060644
3,1896,L3N1896,0.5286465121500276,2.3652029037475586,1.2503562655932643,1.2503562655932643
0,1779,L0N1779,0.5703283857871694,2.1652534008026123,1.2349054768999328,1.2349054768999328
1,632,L1N632,0.627626776881516,1.9652233123779297,1.2334267734001767,1.2334267734001767
5,2204,L5N2204,0.6628937967137145,-1.859304666519165,-1.232521529636416,1.232521529636416
10,2718,L10N2718,0.2899622417108483,4.2292256355285645,1.2263157459788496,1.2263157459788496
11,1506,L11N1506,-0.09879227669774661,12.397404670715332,-1.2247678325632452,1.2247678325632452
